X1,Author,Year,Substudy,Setting,Measured,Measure_Unit,Brand,Device,device_name,device_year,Wear_Location,Wear_Info,Type,Good?,Criterion_Measure,Criterion_Type,Wear_Info_crit,Wear_Location_crit,population_n,population_m,population_f,population,age_code,health_code,age,age_SD,weight,weight_SD,height,height_SD,BMI,BMI_SD,location,activity_type,test_type,activity_type_code,MPE,MAPE
42,Storm,2015,-,Controlled,SC,steps/11 min,Fitbit,One,Fitbit One,2012,Waist/Hip,"waist, left",full-text,y,Accelerometry (OPAL IMU [shank]),accelerometry,"shank, both",LAF,16,10,6,healthy adults,A,H,28.87,2.65,72,9.2,175,9,23.5,2.3,UK,Walk: Overground,NA,Ao,-0.006982157,0.0101
43,Storm,2015,-,Controlled,SC,steps/11 min,Fitbit,One,Fitbit One,2012,Waist/Hip,"waist, left",full-text,y,Accelerometry (OPAL IMU [shank]),accelerometry,"shank, both",LAF,16,10,6,healthy adults,A,H,28.87,2.65,72,9.2,175,9,23.5,2.3,UK,Walk: Overground,NA,Ao,-0.007098492,0.0113
44,Storm,2015,-,Controlled,SC,steps/11 min,Fitbit,One,Fitbit One,2012,Waist/Hip,"waist, left",full-text,y,Accelerometry (OPAL IMU [shank]),accelerometry,"shank, both",LAF,16,10,6,healthy adults,A,H,28.87,2.65,72,9.2,175,9,23.5,2.3,UK,Walk: Overground,NA,Ao,-0.024340771,0.0256
45,Park,2014,-,Controlled,SC,steps/6 min,Fitbit,Ultra,Fitbit Ultra,2011,Torso,"chest, lanyard",full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Treadmill,NA,At,0.002595156,0.007
46,Park,2014,-,Controlled,SC,steps/6 min,Fitbit,Ultra,Fitbit Ultra,2011,Upper Arm,"arm, upper",full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Treadmill,NA,At,0,0.005
47,Park,2014,-,Controlled,SC,steps/6 min,Fitbit,Ultra,Fitbit Ultra,2011,Waist/Hip,waist,full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Treadmill,NA,At,-0.001493652,0
48,Park,2014,-,Controlled,SC,steps/6 min,Fitbit,Ultra,Fitbit Ultra,2011,Upper Arm,"arm, upper",full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Treadmill,NA,At,-0.001966568,0
49,Park,2014,-,Controlled,SC,steps/6 min,Fitbit,Ultra,Fitbit Ultra,2011,Waist/Hip,waist,full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Treadmill,NA,At,-0.002949853,0.002
50,Park,2014,-,Controlled,SC,steps/6 min,Fitbit,Ultra,Fitbit Ultra,2011,Waist/Hip,pants pocket,full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Treadmill,NA,At,-0.00432526,0
51,Park,2014,-,Controlled,SC,steps/6 min,Fitbit,Ultra,Fitbit Ultra,2011,Waist/Hip,waist,full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Treadmill,NA,At,-0.006920415,0.003
52,Park,2014,-,Controlled,SC,steps/6 min,Fitbit,Ultra,Fitbit Ultra,2011,Torso,"chest, lanyard",full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Treadmill,NA,At,-0.007866273,0.006
53,Park,2014,-,Controlled,SC,steps/6 min,Fitbit,Ultra,Fitbit Ultra,2011,Upper Arm,"arm, upper",full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Treadmill,NA,At,-0.008215086,0.008
54,Park,2014,-,Controlled,SC,steps/6 min,Fitbit,Ultra,Fitbit Ultra,2011,Waist/Hip,pants pocket,full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Treadmill,NA,At,-0.015732547,0.023
55,Park,2014,-,Controlled,SC,steps/10 min,Fitbit,Ultra,Fitbit Ultra,2011,Waist/Hip,waist,full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Overground,NA,Ao,-0.01903467,0.016
56,Park,2014,-,Controlled,SC,steps/10 min,Fitbit,Ultra,Fitbit Ultra,2011,Torso,"chest, lanyard",full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Overground,NA,Ao,-0.021753909,0.018
57,Park,2014,-,Controlled,SC,steps/6 min,Fitbit,Ultra,Fitbit Ultra,2011,Torso,"chest, lanyard",full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Jog: Treadmill,NA,At,-0.024449878,0.023
58,Park,2014,-,Controlled,SC,steps/10 min,Fitbit,Ultra,Fitbit Ultra,2011,Waist/Hip,pants pocket,full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Overground,NA,Ao,-0.024473148,0.021
59,Park,2014,-,Controlled,SC,steps/10 min,Fitbit,Ultra,Fitbit Ultra,2011,Upper Arm,"arm, upper",full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Overground,NA,Ao,-0.028552005,0.025
60,Park,2014,-,Controlled,SC,steps/6 min,Fitbit,Ultra,Fitbit Ultra,2011,Torso,"chest, lanyard",full-text,y,Manual count,manual count,NA,NA,40,20,20,"adults, healthy",A,H,"m: 38.1 ± 13.4 
f: 39.1 ± 14.0",NA,"m: 83.4 ± 14.9 kg
f: 70.4 ± 14.8 kg",NA,"m: 175 ± 7 cm
f: 162 ± 7 cm",NA,"m: 27.4 ± 4.8 kg/m2
f: 26.9 ± 5.5 kg/m2",NA,"TX, USA",Walk: Treadmill,NA,At,-0.029126214,0.028
61,Alinia,2017,-,Controlled,SC,steps/5 min,Fitbit,Zip,Fitbit Zip,2013,Torso,chest,full-text,y,Manual count,manual count,NA,NA,15,8,7,healthy adults,A,H,range: 21-31,NA,range: 47-86,NA,range: 155-189,NA,range: 19.0-24.8,NA,"WA, USA",Walk: Treadmill,NA,At,NA,0.014
62,Alinia,2017,-,Controlled,SC,steps/5 min,Fitbit,Zip,Fitbit Zip,2013,Torso,chest,full-text,y,Manual count,manual count,NA,NA,15,8,7,healthy adults,A,H,range: 21-31,NA,range: 47-86,NA,range: 155-189,NA,range: 19.0-24.8,NA,"WA, USA",Walk: Treadmill,NA,At,NA,0.018
63,An,2016,-,Controlled,SC,steps/3 min,Fitbit,Zip,Fitbit Zip,2013,Waist/Hip,waist,full-text,y,Manual count,manual count,NA,NA,35,17,18,healthy adults,A,H,31,11.8,71.7,13.4,172.9,7.3,23.8,3.1,"NE, USA",Walk: Treadmill,NA,At,NA,0.004
64,An,2016,-,Controlled,SC,steps/3 min,Fitbit,Zip,Fitbit Zip,2013,Waist/Hip,waist,full-text,y,Manual count,manual count,NA,NA,35,17,18,healthy adults,A,H,31,11.8,71.7,13.4,172.9,7.3,23.8,3.1,"NE, USA",Walk: Treadmill,NA,At,NA,0.005
65,An,2016,-,Controlled,SC,steps/18 min,Fitbit,Zip,Fitbit Zip,2013,Waist/Hip,waist,full-text,y,Manual count,manual count,NA,NA,35,17,18,healthy adults,A,H,31,11.8,71.7,13.4,172.9,7.3,23.8,3.1,"NE, USA",Walk: Treadmill,NA,At,NA,0.006
66,An,2016,-,Controlled,SC,steps/600m,Fitbit,Zip,Fitbit Zip,2013,Waist/Hip,waist,full-text,y,Manual count,manual count,NA,NA,35,17,18,healthy adults,A,H,31,11.8,71.7,13.4,172.9,7.3,23.8,3.1,"NE, USA",Walk: Overground,NA,Ao,NA,0.006
67,An,2016,-,Controlled,SC,steps/3 min,Fitbit,Zip,Fitbit Zip,2013,Waist/Hip,waist,full-text,y,Manual count,manual count,NA,NA,35,17,18,healthy adults,A,H,31,11.8,71.7,13.4,172.9,7.3,23.8,3.1,"NE, USA",Walk: Treadmill,NA,At,NA,0.006
68,An,2016,-,Controlled,SC,steps/3 min,Fitbit,Zip,Fitbit Zip,2013,Waist/Hip,waist,full-text,y,Manual count,manual count,NA,NA,35,17,18,healthy adults,A,H,31,11.8,71.7,13.4,172.9,7.3,23.8,3.1,"NE, USA",Walk: Treadmill,NA,At,NA,0.006
69,An,2016,-,Controlled,SC,steps/3 min,Fitbit,Zip,Fitbit Zip,2013,Waist/Hip,waist,full-text,y,Manual count,manual count,NA,NA,35,17,18,healthy adults,A,H,31,11.8,71.7,13.4,172.9,7.3,23.8,3.1,"NE, USA",Walk: Treadmill,NA,At,NA,0.008
